Info 0    [00:27:55.523] Starting TS Server
Info 183  [01:58:19.153] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: true structureIsReused:: SafeModules Elapsed: 85.2519469987601ms
Info 184  [01:58:19.154] Different program with same set of files
Info 185  [01:58:26.815] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [01:58:26.894] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 78.31087400019169ms
Info 187  [01:58:26.894] Different program with same set of files
Info 188  [01:58:28.592] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [01:58:28.641] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 48.730125000700355ms
Info 190  [01:58:28.641] Different program with same set of files
Info 191  [01:58:31.363] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [01:58:31.469] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 105.76294700056314ms
Info 193  [01:58:31.469] Different program with same set of files
Info 194  [01:58:36.475] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [01:58:36.542] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 67.47172000072896ms
Info 196  [01:58:36.542] Different program with same set of files
Info 197  [01:58:39.628] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [01:58:39.705] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 76.24284799955785ms
Info 199  [01:58:39.705] Different program with same set of files
Err 200   [01:58:39.996] Exception on executing command {"command":"documentHighlights","seq":346,"type":"request","arguments":{"file":"/home/chris/WebDev/sites/webdev-profile/src/pages/index.js","line":15,"offset":3,"filesToSearch":["/home/chris/WebDev/sites/webdev-profile/src/pages/index.js"]}}:

    Debug Failure. False expression: `JsxText` tokens should not be the first child of `JsxElement | JsxSelfClosingElement`

    Error: Debug Failure. False expression: `JsxText` tokens should not be the first child of `JsxElement | JsxSelfClosingElement`
        at findRightmostChildNodeWithTokens (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123998:26)
        at find (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123972:29)
        at findPrecedingToken (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123922:22)
        at nodeContainsPosition (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123857:37)
        at /home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123814:21
        at Object.binarySearchKey (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:1200:21)
        at _loop_1 (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123789:24)
        at getTokenAtPositionWorker (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123839:27)
        at getTouchingToken (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123774:16)
        at Object.getTouchingPropertyName (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:123766:16)
        at Object.getDocumentHighlights (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:131322:27)
        at Object.getDocumentHighlights (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:160176:42)
        at IOSession.Session.getDocumentHighlights (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:171194:71)
        at Session.handlers.ts.Map.ts.getEntries._a.<computed> (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:170496:61)
        at /home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:172193:88
        at IOSession.Session.executeWithRequestId (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:172184:28)
        at IOSession.Session.executeCommand (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:172193:33)
        at IOSession.Session.onMessage (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:172219:35)
        at Interface.<anonymous> (/home/chris/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js:174824:31)
        at Interface.emit (node:events:527:28)
        at Interface.[_onLine] [as _onLine] (node:internal/readline/interface:418:12)
        at Interface.[_normalWrite] [as _normalWrite] (node:internal/readline/interface:607:59)
        at Socket.ondata (node:internal/readline/interface:248:23)
        at Socket.emit (node:events:527:28)
        at addChunk (node:internal/streams/readable:324:12)
        at readableAddChunk (node:internal/streams/readable:297:9)
        at Socket.Readable.push (node:internal/streams/readable:234:10)
        at Pipe.onStreamRead (node:internal/stream_base_commons:190:23)
Info 201  [01:58:41.581] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 202  [01:58:41.646] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 64.27193199843168ms
Info 203  [01:58:41.646] Different program with same set of files
Info 204  [01:58:43.060] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 205  [01:58:43.105] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 44.984892999753356ms
Info 206  [01:58:43.106] Different program with same set of files
Info 207  [01:58:43.109] getCompletionData: Get current token: 0.07421899959445
Info 208  [01:58:43.110] getCompletionData: Is inside comment: 0.02680400013923645
Info 209  [01:58:43.110] getCompletionData: Get previous token: 0.14192499965429306
Info 210  [01:58:43.111] getCompletionsAtPosition: isCompletionListBlocker: 0.6917190011590719
Info 211  [01:58:43.111] Returning an empty list because completion was requested in an invalid position.
Info 212  [01:58:43.117] getCompletionData: Get current token: 0.016377000138163567
Info 213  [01:58:43.117] getCompletionData: Is inside comment: 0.0070379991084337234
Info 214  [01:58:43.117] getCompletionData: Get previous token: 0.05341799929738045
Info 215  [01:58:43.117] getCompletionsAtPosition: isCompletionListBlocker: 0.04068299941718578
Info 216  [01:58:43.117] Returning an empty list because completion was requested in an invalid position.
Info 217  [01:58:43.117] getCompletionData: Get current token: 0.02591799944639206
Info 218  [01:58:43.118] getCompletionData: Is inside comment: 0.009553000330924988
Info 219  [01:58:43.118] getCompletionData: Get previous token: 0.08631299994885921
Info 220  [01:58:43.118] getCompletionsAtPosition: isCompletionListBlocker: 0.010897999629378319
Info 221  [01:58:43.118] Returning an empty list because completion was requested in an invalid position.
Info 222  [01:58:43.118] getCompletionData: Get current token: 0.01463799923658371
Info 223  [01:58:43.118] getCompletionData: Is inside comment: 0.0058559998869895935
Info 224  [01:58:43.118] getCompletionData: Get previous token: 0.04985300078988075
Info 225  [01:58:43.118] getCompletionsAtPosition: isCompletionListBlocker: 0.008290000259876251
Info 226  [01:58:43.118] Returning an empty list because completion was requested in an invalid position.
Info 227  [01:58:43.237] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 228  [01:58:43.277] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 39.86413799971342ms
Info 229  [01:58:43.277] Different program with same set of files
Info 230  [01:58:43.277] getCompletionData: Get current token: 0.022278999909758568
Info 231  [01:58:43.277] getCompletionData: Is inside comment: 0.010973000898957253
Info 232  [01:58:43.278] getCompletionData: Get previous token: 0.05877299979329109
Info 233  [01:58:43.278] getCompletionsAtPosition: isCompletionListBlocker: 0.01574999839067459
Info 234  [01:58:43.278] Returning an empty list because completion was requested in an invalid position.
Info 235  [01:58:43.301] getCompletionData: Get current token: 0.030858999118208885
Info 236  [01:58:43.301] getCompletionData: Is inside comment: 0.009021999314427376
Info 237  [01:58:43.301] getCompletionData: Get previous token: 0.11481699906289577
Info 238  [01:58:43.301] getCompletionsAtPosition: isCompletionListBlocker: 0.0345929991453886
Info 239  [01:58:43.301] Returning an empty list because completion was requested in an invalid position.
Info 240  [01:58:43.359] getCompletionData: Get current token: 0.016566000878810883
Info 241  [01:58:43.359] getCompletionData: Is inside comment: 0.005976999178528786
Info 242  [01:58:43.359] getCompletionData: Get previous token: 0.05981599912047386
Info 243  [01:58:43.360] getCompletionsAtPosition: isCompletionListBlocker: 0.015799999237060547
Info 244  [01:58:43.360] Returning an empty list because completion was requested in an invalid position.
